topic_id,topic_label,latest_year,future_sigma,movement_norm,cosine_similarity_to_latest
0,"Lineage 0: learning, emergency, artificial",2020,0.08,0.7923022,0.6329271793365479
1,"Lineage 1: food, allergy, food allergy",2021,0.08,0.13060732,0.9974814653396606
2,"Lineage 2: spread, networks, mobile",2020,0.08,0.8154353,0.5918912887573242
3,"Lineage 3: cross, cross sectional, sectional",2020,0.08,0.4850019,0.874825656414032
4,"Lineage 4: cancer, patients, care",2023,0.08,0.27596387,0.9747946262359619
5,"Lineage 5: digital, data, twitter",2020,0.08,0.7279528,0.7074194550514221
6,"Lineage 6: cancer, microrna, rna",2021,0.08,0.9777316,0.29825451970100403
7,"Lineage 7: genome, assembly, genome assembly",2023,0.08,0.15647751,0.9965246319770813
8,"Lineage 8: genetic, species, adaptation",2023,0.08,0.80241823,0.5974538922309875
9,"Lineage 9: fatty, dysfunction, dysfunction associated",2023,0.08,0.8867083,0.4634578227996826
10,"Lineage 10: genetic, variant, child",2023,0.08,0.84737396,0.5318983197212219
11,"Lineage 11: models, inference, high",2023,0.08,1.0094328,0.2982485294342041
12,"Lineage 12: carcinoma, node, lymph",2023,0.08,0.86007684,0.5412015318870544
13,"Lineage 13: genomics, variation, equity",2023,0.08,0.799049,0.6032665371894836
14,"Lineage 14: cell, single, high",2023,0.08,0.8705414,0.49246281385421753
15,"Lineage 15: delivery, lipid, drug delivery",2023,0.08,1.1109418,0.1516755372285843
16,"Lineage 16: cancer, experience, head",2023,0.08,0.9816404,0.3278585374355316
17,"Lineage 17: randomization, patients, oral",2023,0.08,0.84732044,0.5320632457733154
18,"Lineage 18: learning, risk, risk score",2023,0.08,0.9384628,0.39323997497558594
19,"Lineage 19: cancer, rectal cancer, laparoscopic",2023,0.08,1.040656,0.27180027961730957
20,"Lineage 20: cancer, long, rna",2023,0.08,0.9742496,0.3129526376724243
21,"Lineage 21: media, fandom, rugby",2023,0.08,0.9823466,0.3754083514213562
22,"Lineage 22: urothelial, upper, tract urothelial",2023,0.08,1.0310377,0.25299152731895447
23,"Lineage 23: reveals, variants, function",2023,0.08,0.8276992,0.5611792802810669
24,"Lineage 24: hepatocellular carcinoma, hepatocellular, carcinoma",2023,0.08,0.95154893,0.35436657071113586
25,"Lineage 25: credit, recovery, crisis",2023,0.08,0.92803556,0.4679058790206909
26,"Lineage 26: peritoneal, chemotherapy, surgery",2023,0.08,1.0238332,0.30679523944854736
27,"Lineage 27: bacillus, related, stenotrophomonas",2023,0.08,0.8508832,0.5254122614860535
28,"Lineage 28: plant, future, omics",2023,0.08,0.82378393,0.568881630897522
29,"Lineage 29: lung, adenocarcinoma, lung adenocarcinoma",2023,0.08,0.8837312,0.47964686155319214
30,"Lineage 30: cancer, pd, blockade",2023,0.08,1.0126754,0.27668699622154236
31,"Lineage 31: cell, immune, carcinoma",2023,0.08,0.9156436,0.431646466255188
32,"Lineage 32: prostate, cancer, prostate cancer",2023,0.08,0.95274943,0.37630122900009155
33,"Lineage 33: twitter, identifying major, identifying",2023,0.08,0.9062241,0.5052804350852966
34,"Lineage 34: work, social work, social",2023,0.08,0.865487,0.5612369179725647
35,"Lineage 35: learning, deep, deep learning",2023,0.08,0.9803103,0.36919140815734863
36,"Lineage 36: anatomy, learning, dissection",2023,0.08,0.93839955,0.4177589416503906
37,"Lineage 37: disparities, coverage, racial disparities",2023,0.08,0.84219253,0.583159327507019
38,"Lineage 38: urban, mobility, density",2023,0.08,0.82910585,0.6031520962715149
39,"Lineage 39: recreation, behaviors, trail",2023,0.08,0.8606993,0.5538382530212402
40,"Lineage 40: salmonella, genomics, resistance",2023,0.08,0.79523885,0.619648814201355
