lineage_id,year,cluster_id,n_docs
0,2020,0,6
1,2020,1,23
1,2021,2,8
2,2020,2,11
3,2020,3,32
4,2020,4,84
4,2021,1,269
4,2022,0,928
4,2023,33,261
5,2020,5,9
6,2021,0,17
7,2022,1,10
7,2023,13,28
8,2023,0,6
9,2023,1,8
10,2023,2,17
11,2023,3,5
12,2023,4,10
13,2023,5,17
14,2023,6,13
15,2023,7,11
16,2023,8,9
17,2023,9,11
18,2023,10,6
19,2023,11,6
20,2023,12,7
21,2023,14,5
22,2023,15,5
23,2023,16,5
24,2023,17,6
25,2023,18,10
26,2023,19,15
27,2023,20,9
28,2023,21,15
29,2023,22,10
30,2023,23,7
31,2023,24,9
32,2023,25,21
33,2023,26,5
34,2023,27,6
35,2023,28,6
36,2023,29,5
37,2023,30,7
38,2023,31,26
39,2023,32,14
40,2023,34,8
