lineage_id,lineage_name,top_terms,representative_titles,n_docs_total,start_year,end_year,n_years
0,"Lineage 0: learning, emergency, artificial",learning; emergency; artificial; deep,Explainable Machine Learning for Early Assessment of COVID-19 Risk Prediction in Emergency Departments. || 2019 Novel Coronavirus-Infected Pneumonia on CT: A Feasibility Study of Few-Shot Learning for Computerized Diagnosis of Emergency Diseases. || Artificial Intelligence Applied to Chest X-Ray Images for the Automatic Detection of COVID-19. A Thoughtful Evaluation Approach.,6,2020,2020,1
1,"Lineage 1: food, allergy, food allergy",food; allergy; food allergy; oral,Parent perspectives on food allergy management and safety during the COVID-19 pandemic. || Use of emergency backup resources during open food challenges at a pediatric tertiary care center. || Nutritional management of food allergies.,31,2020,2021,2
2,"Lineage 2: spread, networks, mobile",spread; networks; mobile; based,"Geolocated Twitter-based population mobility in Victoria, Australia, during the staged COVID-19 restrictions. || Sensing pedestrian flows for real-time assessment of non-pharmaceutical policy interventions during the COVID-19 pandemic. || Estimating the number of undetected COVID-19 cases among travellers from mainland China.",11,2020,2020,1
3,"Lineage 3: cross, cross sectional, sectional",cross; cross sectional; sectional; descriptive,"Mental health, sleep quality and quality of life in individuals with and without multiple health conditions during home quarantine in India due to the COVID-19 pandemic: a cross-sectional study. || [Risks, contamination and prevention against COVID-19 in dental work: a review]. || Assessing Mental Health of Women Living in Karachi During the Covid-19 Pandemic.",32,2020,2020,1
4,"Lineage 4: cancer, patients, care",cancer; patients; care; impact,Study protocol: Comparison of different risk prediction modelling approaches for COVID-19 related death using the OpenSAFELY platform. || [COVID-19 and its socio-cultural imagery in Latin America: a tool for public health]. || [Sustainable anticoagulation in COVID-19: Review of severity prediction and clinical reasoning].,1542,2020,2023,4
5,"Lineage 5: digital, data, twitter",digital; data; twitter; infodemic,"Pivoting data and analytic capacity to support Ontario's COVID-19 response. || Not just conspiracy theories: Vaccine opponents and proponents add to the COVID-19 'infodemic' on Twitter. || Lies Kill, Facts Save: Detecting COVID-19 Misinformation in Twitter.",9,2020,2020,1
6,"Lineage 6: cancer, microrna, rna",cancer; microrna; rna; as1,Suppression of human papillomavirus type 16 E5 oncoprotein: A promising step in fostering the treatment of cervical cancer. || MicroRNA-188-5p targeting Forkhead Box L1 promotes colorectal cancer progression via activating Wnt/β-catenin signaling. || Long noncoding RNA TFAP2A-AS1 exerts promotive effects in non-small cell lung cancer progression via controlling the microRNA-548a-3p/CDK4 axis as a competitive endogenous RNA.,17,2021,2021,1
7,"Lineage 7: genome, assembly, genome assembly",genome; assembly; genome assembly; genome sequence,"The genome sequence of Tachina fera (Linnaeus, 1761), a tachinid fly. || The genome sequence of the Small Skipper, Thymelicus sylvestris (Poda, 1761). || The genome sequence of the bronze furrow bee, Seladonia tumulorum (Linnaeus, 1758).",38,2022,2023,2
8,"Lineage 8: genetic, species, adaptation",genetic; species; adaptation; avian,Genetic diversity and relatedness amongst captive saker falcons (Falcocherrug) in the Green Balkans' Wildlife Rehabilitation and Breeding Centre in Bulgaria. || Genetic and environmental drivers of migratory behavior in western burrowing owls and implications for conservation and management. || Repeatability of adaptation in sunflowers reveals that genomic regions harbouring inversions also drive adaptation in species lacking an inversion.,6,2023,2023,1
9,"Lineage 9: fatty, dysfunction, dysfunction associated",fatty; dysfunction; dysfunction associated; metabolic dysfunction,Associations between metabolic dysfunction-associated fatty liver disease and extrahepatic cancers: a cohort in China. || Potential disease biomarkers for diabetic retinopathy identified through Mendelian randomization analysis. || [Application of omics in the diagnosis of metabolic dysfunction-associated fatty liver disease].,8,2023,2023,1
