topic_id,topic_label,latest_year,future_sigma,movement_norm,cosine_similarity_to_latest
0,Public Health & Workforce Impact,2022,0.08,0.2771941,0.9377208948135376
1,Online Education & Training,2022,0.08,0.20825738,0.974284291267395
2,Clinical Virology & Infection,2022,0.08,0.1118797,0.9926972985267639
3,Medical Imaging & Deep Learning,2022,0.08,0.09541872,0.9960632920265198
4,Financial Markets & Economic Impact,2022,0.08,0.2331859,0.9779571294784546
5,Mental Health & Psychological Effects,2022,0.08,0.24056707,0.9600218534469604
8,Severe Disease & Immune Response,2022,0.08,0.102140635,0.9930051565170288
9,Food Systems & Hospitality Impact,2022,0.08,0.37423462,0.9482893347740173
10,"Prevention, Masks & Environmental Effects",2022,0.08,0.24569258,0.9855976104736328
11,"Policy, Governance & Public Response",2022,0.08,0.3529707,0.8911763429641724
12,Clinical Care & Procedures,2022,0.08,0.21613419,0.9657942056655884
14,Hospitalization & Patient Outcomes,2022,0.08,0.25611964,0.9492660164833069
